CaseID,concern_bomb,concern_cyber,severity_bomb,severity_cyber,publicKnow_bomb,publicKnow_cyber,expertKnow_bomb,expertKnow_cyber,cas_bomb,cas_cyber,likely_bomb,likely_cyber,risk_bomb,risk_cyber,DOV_XPARTY7,DOV_IDEO,DOV_REL2,PPAGE,ppagect4,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPREG4,ppreg9,PPNET,KnowGen,Pol_econ,Pol_survMusl,Pol_force,Pol_screenUS,Pol_screenForg,Pol_immig,Pol_refugME,Pol_trackPh,issue_econ,issue_immig,issue_debt,issue_energy,issue_health,issue_climate,issue_terror,issue_envi,issue_ineq,issue_women,inform_papers,inform_Fox,inform_CNN,inform_MSNBC,inform_network,inform_online,inform_radio,inform_socialMedia,safetyGen,Fear_self,Fear_family,Fear_friend
1243,2,1,4,4,4,4,2,3,4,5,3,1,3,3,6,4,5,26,1,3,1,0,11,3,7,1,1,3,2,3,3,3,3,2,3,2,1,2,2,2,2,3,2,1,2,1,1,1,1,1,1,3,2,1,1,1,1
1244,2,2,3,3,3,3,3,3,1,3,3,3,3,3,3,4,2,18,1,2,1,1,14,3,7,1,1,2,2,3,2,2,2,2,2,3,2,4,3,4,3,4,3,3,4,3,2,2,2,3,2,2,2,5,1,1,1
1245,3,3,4,4,2,2,2,2,5,5,4,4,3,3,3,4,3,48,3,3,1,1,19,4,9,1,2,3,3,2,5,5,3,4,1,4,1,3,4,4,4,3,4,3,3,2,2,3,2,3,2,3,3,2,2,2,2
1246,3,3,3,3,3,2,3,3,4,4,3,2,3,3,2,5,4,27,1,4,1,1,15,1,2,1,2,3,3,3,5,5,5,5,5,3,4,3,3,4,3,4,4,2,3,2,1,2,1,3,2,3,2,2,3,3,3
1247,2,2,3,3,3,1,1,1,4,5,2,1,3,2,2,4,6,22,1,4,1,0,14,2,3,1,3,2,3,2,4,5,5,5,1,2,2,3,3,2,3,3,3,2,1,1,2,2,2,2,3,2,3,1,1,1,1
1248,3,3,3,4,2,2,,1,5,5,1,3,1,3,2,4,4,59,3,3,3,0,14,4,9,1,3,1,3,1,4,3,3,4,3,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,3,2,2,3,1,1,1
1249,2,2,3,3,3,1,2,2,3,4,2,2,3,3,5,7,5,26,1,2,1,1,10,3,6,0,1,3,3,3,5,5,4,5,5,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2
1250,2,2,3,3,2,1,2,2,3,4,3,2,3,3,5,4,5,64,4,2,1,0,13,3,5,1,2,1,1,1,4,3,2,4,2,2,2,4,2,3,2,3,2,2,3,2,2,2,1,2,2,2,1,2,1,1,2
1251,2,1,3,3,3,1,3,3,2,3,3,2,4,3,7,2,5,54,3,4,1,0,19,3,7,1,3,2,2,1,4,5,1,2,3,2,1,3,2,3,4,2,4,3,3,2,1,3,2,2,2,1,1,2,1,1,1
1252,2,2,3,4,3,1,4,1,4,5,2,2,3,5,5,4,6,23,1,3,1,1,6,2,3,1,1,1,1,3,2,4,3,2,1,2,2,2,3,3,4,2,4,3,2,2,2,2,2,2,3,2,1,3,1,2,2
1253,4,3,4,4,1,1,4,2,4,5,4,1,5,2,5,1,6,40,2,4,4,1,16,2,3,1,3,1,4,2,1,5,3,4,5,4,1,4,1,4,3,4,1,4,2,1,2,2,2,2,4,2,4,3,4,4,4
1254,3,3,3,4,3,4,4,4,4,4,4,4,5,4,2,6,2,66,4,2,1,1,16,2,4,1,2,3,4,3,4,4,5,4,1,4,4,4,3,4,2,4,3,3,3,1,1,2,2,4,2,1,2,3,3,3,3
1255,3,4,4,3,1,1,3,3,4,5,3,4,5,4,3,7,4,66,4,4,1,0,17,4,8,1,2,2,4,1,3,5,4,5,5,3,4,4,3,3,1,4,2,1,2,2,4,1,1,2,4,4,4,3,1,1,2
1256,3,2,4,4,4,3,3,2,5,5,4,2,3,3,6,2,6,58,3,4,1,1,16,1,1,1,2,3,2,4,5,5,4,4,4,3,3,3,3,4,3,3,3,3,2,1,1,3,2,3,2,3,1,2,1,2,2
1257,4,4,4,4,3,2,4,3,5,5,4,4,5,5,6,5,3,50,3,4,1,0,16,3,7,1,1,3,3,1,3,5,4,2,4,4,3,4,4,4,3,3,3,4,4,4,2,4,2,4,2,1,2,4,4,4,4
